"","Feature","mz","rt","intensity","iso_group","status","shift"
"2195","2195","382.5504","8.565","1,045,175.9","247","keep_rep","C13*1 (z=2)"
"2199","2199","383.0517","8.565","229,518.0","247","filtered","none"
"2190","2190","381.1104","8.090","2,684,306.3","246","keep_rep","C13*1 (z=1)"
"2194","2194","382.1140","8.090","280,339.5","246","filtered","none"
"2185","2185","380.0156","10.499","987,340.5","245","keep_rep","C13*1 (z=1)"
"2188","2188","381.0192","10.499","73,880.8","245","filtered","none"
"2182","2182","379.1010","4.042","867,858.9","244","keep_rep","C13*1 (z=1)"
"2186","2186","380.1049","4.042","118,997.6","244","filtered","none"
"2177","2177","378.0978","7.353","207,322.9","243","keep_rep","C13*1 (z=1)"
"2183","2183","379.1015","7.353","19,655.7","243","filtered","none"
"2164","2164","375.1538","7.957","478,941.3","242","keep_rep","C13*1 (z=1)"
"2169","2169","376.1575","7.957","53,984.7","242","filtered","none"
"2161","2161","374.7734","16.507","4,343,310.5","241","keep_rep","C13*1 (z=1)"
"2167","2167","375.7769","16.507","148,710.3","241","filtered","none"
"2155","2155","373.1002","10.291","1,035,724.0","240","keep_rep","C13*1 (z=1)"
"2159","2159","374.1041","10.291","138,171.5","240","filtered","none"
"2150","2150","372.1051","3.902","2,656,399.0","239","keep_rep","C13*1 (z=1)"
"2156","2156","373.1087","3.903","399,924.3","239","filtered","none"
"2148","2148","371.5386","10.615","751,845.9","238","keep_rep","C13*1 (z=2)"
"2149","2149","372.0402","10.615","174,291.3","238","filtered","none"
"2146","2146","371.1366","7.353","6,786,898.7","237","keep_rep","C13*1 (z=1)"
"2152","2152","372.1401","7.353","869,049.0","237","filtered","C13*1 (z=1)"
"2157","2157","373.1412","7.353","181,925.1","237","filtered","none"
"2136","2136","369.1983","14.090","310,422.4","236","keep_rep","C13*1 (z=1)"
"2142","2142","370.2017","14.090","27,252.5","236","filtered","none"
"2122","2122","368.0378","8.294","1,437,158.0","235","keep_rep","C13*1 (z=1)"
"2130","2130","369.0421","8.294","138,148.4","235","filtered","none"
"2120","2120","367.8820","16.051","64,851,225.6","234","keep_rep","C13*1 (z=2); C13*1 (z=1)"
"2126","2126","368.3837","16.051","5,522,166.7","234","filtered","C13*1 (z=2)"
"2127","2127","368.8841","16.051","3,115,555.7","234","filtered","none"
"2119","2119","367.3582","1.343","390,043.1","233","keep_rep","C13*1 (z=1)"
"2125","2125","368.3614","1.345","66,912.5","233","filtered","none"
"2107","2107","364.1188","7.844","734,072.3","232","keep_rep","C13*1 (z=1)"
"2113","2113","365.1222","7.844","88,365.5","232","filtered","none"
"2098","2098","363.1511","7.353","498,833.2","231","keep_rep","C13*1 (z=1)"
