"Feature","mz","rt","Orbi_P_E2_EXBLANKA","Orbi_P_E2_EXBLANKB","Orbi_P_E2_EXBLANKC","Orbi_P_E2_Wasteblank4","Orbi_P_E2_Wasteblank5","Orbi_P_E2_Wasteblank6","Orbi_P_E2_WS03A","Orbi_P_E2_WS03B","Orbi_P_E2_WS03C"
"2001",198.18532,0.628,76842,73106,64259,124034,40382,80419,195653,123074,188130
"2002",198.18538,4.873,627278,571058,592734,520364,572357,627617,717364,785120,944442
"2003",198.18547,4.507,378762,255961,300376,221866,276029,253127,376929,387952,331213
"2004",198.18556,6.684,343807,393476,345134,310155,334808,377983,473310,413255,499385
"2005",198.18561,10.032,258257,208910,251182,263641,277593,284043,246052,347492,365522
"2006",198.18567,10.167,350194,286434,307475,286815,319446,375457,314411,331889,416607
"2007",198.18588,6.911,632844,129633,44633,64143,112649,82350,128229,89893,101649
"2008",198.18591,8.02,752580,127463,103324,88626,46310,43095,136070,45061,141009
"2009",198.94009,0.42,2561,4545,10212,6892,14020,7495,164018,208320,226260
"2010",198.94061,11.658,256411,359813,258430,253944,236095,306116,194449,172159,261249
"2011",198.95718,0.473,279141,284876,312494,269707,268410,263361,59892,21183,55163
"2012",199.06358,0.573,0,2174,0,1662,0,0,567747,585050,541181
"2013",199.07584,5.091,1605,1275,2405,1285,1073,2674,1819765,1875048,302717
"2014",199.09714,2.412,260977,71085,61487,36094,39675,42234,49006,45380,46759
"2015",199.10788,1.423,0,0,0,0,1668,1249,137389,123474,102931
"2016",199.13377,4.21,208888,305394,246331,213664,175876,251707,242256,291682,273754
"2017",199.16962,6.058,287720,264264,425664,288218,322472,419824,372865,272741,556348
"2018",199.16963,9.008,176506,188493,199728,138732,150516,151096,308861,288542,292093
"2019",199.16963,5.927,543267,428208,508579,449531,442191,471776,522080,413856,521907
"2020",199.18079,11.781,153894,176906,161264,176058,88566,71675,79987,169870,184856
"2021",199.18108,3.578,167202,50604,94986,106041,118423,254273,244084,100850,125681
"2022",199.97588,11.761,849215,1247767,1001435,787498,912853,781846,921647,902082,836273
"2023",199.98842,0.798,167075,714263,1101650,1043573,1332160,597919,374091,373635,396725
"2024",199.98843,12.085,1515796,860034,2114054,1091342,2015594,2199077,757641,917555,2045433
"2025",199.98846,0.534,859305,1022434,1003279,978503,972662,951928,277703,262419,362096
"2026",200.02502,0.605,234382,221153,255098,265120,274593,239387,192142,199299,191244
"2027",200.04086,0.47,0,7167,0,0,1926,0,1316537,1288557,1123552
"2028",200.1283,0.966,13224,15845,13478,8454,16104,10304,264730,275182,351318
"2029",200.12843,1.405,16909,7566,19277,15884,7210,5147,243029,269716,220070
"2030",200.12872,6.572,1218674,41621,72571,37612,11524,9816,19502,29267,35028
"2031",200.12877,5.769,417391,61337,44206,31539,16227,23216,25339,32320,23442
"2032",200.12881,3.158,779806,85422,66911,11080,31396,29312,36162,47112,35776
"2033",200.13928,0.534,0,2149,0,0,0,0,62476,35354,85716
"2034",200.16455,2.946,2302,4935,2116,12689,1199,4121,46767,42216,49872
"2035",200.16464,0.583,2314,7563,4728,1853,1871,2289,863809,803858,937829
"2036",200.16486,0.81,5366,4922,13638,2664,3512,2153,412939,393465,388907
"2037",200.16496,3.27,16681,9456,2173,5224,1840,7419,385465,368826,224709
"2038",200.16501,7.387,7762785,119946,52873,1409,8817,4502,27319,21285,33471
"2039",200.16504,7.264,1926505,41162,31758,4602,7063,5907,15234,3019,11214
"2040",200.16507,8.057,876299,57971,69397,7808,6330,2247,2426,11368,10581
"2041",200.16508,10.487,474289,46225,68532,15164,14413,12464,29395,27351,39157
"2042",200.1651,7.452,9239208,150389,75977,6447,8115,4783,31884,34394,43497
"2043",200.16513,9.717,3068760,495314,455177,26599,17161,25109,117724,169662,152111
"2044",200.16515,8.403,1028257,55800,128870,2850,2334,5489,18965,14386,5028
"2045",200.16516,9.598,2179528,474183,423340,7986,26022,14890,132989,173664,143738
"2046",200.16516,7.982,542880,55599,42652,6671,3884,3644,3131,7683,2761
"2047",200.16519,8.582,358988,67245,158510,4892,5107,9411,14481,12719,14776
"2048",200.16521,8.296,994094,35523,17417,5418,1637,4999,7239,7318,2965
"2049",200.16524,4.387,13131988,2395666,2777256,486385,529165,136316,1071752,777676,1061882
