Compound,mz,kmd,rt,Orbi_P_E2_EXBLANKA,Orbi_P_E2_EXBLANKB,Orbi_P_E2_EXBLANKC,Orbi_P_E2_WS03A,Orbi_P_E2_WS03B,Orbi_P_E2_WS03C,Orbi_P_E2_Wasteblank4,Orbi_P_E2_Wasteblank5,Orbi_P_E2_Wasteblank6,cor
12284,453.2635489,0.2635488999999893,5.4494534,0,0,0,18935.115,20774.672,18514.266,0,0,0,TRUE
12285,535.2369776,0.23697760000004564,5.4494476,0,0,0,4721.7656,4395.5977,3738.6282,0,0,0,TRUE
12287,552.2658001,0.26580009999997856,5.4189105,78.3989,36.607735,161.62128,2523.9868,2660.455,2735.3433,75.19188,147.2941,114.478714,TRUE
12293,435.2540189,0.2540189000000055,5.457563,0,0,0,15712.914,17836.96,15558.3,0,0,0,TRUE
1235,140.0621074,0.062107400000002144,0.49985346,24.86802,73.5634,132.47623,14487.715,13849.633,15586.328,116.19487,42.5542,94.4836,TRUE
1238,255.1079063,0.10790629999999624,0.54974276,0,0,0,44518.094,49476.47,46131.246,0,0,0,TRUE
12473,612.2863243,0.2863243000000466,5.5455394,0,0,0,8064.736,8806.668,8846.921,0,0,0,TRUE
1248,162.076486,0.07648599999998851,0.5608644,2354.8064,2772.332,1591.2748,137925.55,141780.31,127839.42,2238.6167,264.52954,1397.9333,TRUE
12482,333.2055461,0.2055460999999923,5.5615106,73.82309,92.16885,108.05249,3236.9126,3816.0618,3603.6052,54.84677,115.97201,55.074642,TRUE
12483,595.2590533,0.25905330000000504,5.5495973,0,0,0,12476.853,14592.381,13082.521,0,0,0,TRUE
12491,617.2413303,0.2413302999999587,5.5516095,0,0,0,938.3329,1215.0381,1064.2997,0,0,0,TRUE
12514,963.5248815,0.5248814999999922,5.567772,0,0,0,8191.579,8346.18,6378.644,0,0,0,TRUE
12518,486.3433082,0.34330820000002404,5.5698013,0,0,0,1175.0328,1047.0796,764.52844,0,0,0,TRUE
1252,345.1292765,0.12927650000000313,0.5555247,0,0,0,6818.241,9017.12,7525.9937,0,0,0,TRUE
12529,509.231005,0.23100499999998192,5.569801,0,0,0,98676.664,104708.61,94371.19,0,0,0,TRUE
12547,979.4992969,0.4992968999999903,5.5718236,0,0,0,1955.1753,2289.6987,1459.1886,0,0,0,TRUE
1258,104.071372,0.07137199999999666,0.5551544,1134.0496,1040.1165,2296.6404000000002,257533.33,263764.47,232138.84,1822.6284,1820.3096,482.48285,TRUE
1261,360.1508185,0.15081850000001396,0.55230343,5284.485,5167.9736,7055.586,6243336,6578810.5,6352820,4663.8647,5061.6685,3054.0725,TRUE
1263,115.0378367,0.03783669999999972,0.50180024,256.004,193.28825,143.92883,22960.219,24130.05,21256.305,339.76413,224.64471,186.67143,TRUE
1264,116.0712063,0.07120630000000006,0.56172156,10601.09,17295.982,12332.646,2822176,2852950.5,2581267,10897.847,19404.725,14327.758,TRUE
12697,627.3529334,0.3529333999999835,5.6444554,0,0,0,2430.806,2712.5159,2529.0852,0,0,0,TRUE
12698,556.2958928,0.2958928000000469,5.6444907,0,0,0,21545.691,22483.549,21551.572,0,0,0,TRUE
12710,605.3701719,0.3701718999999457,5.6464868,0,0,0,1009.0626,1151.6919,1025.3762,0,0,0,TRUE
