"row ID","row m/z","row retention time","row ion mobility","row ion mobility unit","row CCS","correlation group ID","annotation network number","best ion","auto MS2 verify","identified by n=","partners","neutral M mass","Orbi_P_E2_EXBLANKA.mzML Peak area","Orbi_P_E2_EXBLANKB.mzML Peak area","Orbi_P_E2_EXBLANKC.mzML Peak area","Orbi_P_E2_WS03A.mzML Peak area","Orbi_P_E2_WS03B.mzML Peak area","Orbi_P_E2_WS03C.mzML Peak area","Orbi_P_E2_Wasteblank4.mzML Peak area","Orbi_P_E2_Wasteblank5.mzML Peak area","Orbi_P_E2_Wasteblank6.mzML Peak area","...23"
665,548.822671612406,0.4716107,"","","","31","193","[M+Na]+","","2","665;663","525.83336",0,0,0,9095.9795,9517.242,7463.7876,0,0,0,""
703,700.771198015986,0.47159895,"","","","31","180","[M+K]+","","2","703;591","661.80894",0,0,0,3896.33,4265.4053,3512.6797,0,0,0,""
565,1022.73555120705,0.4715698,"","","","31","174","[2M+K]+","","2","565;550","491.88686",0,0,0,2978.731,2464.3433,682.33014,0,0,0,""
560,752.786200448671,0.4716107,"","","","31","207","[M+K]+","","2","560;559","713.82252",0,0,0,3980.339,3670.685,2147.975,0,0,0,""
666,782.73440538394,0.4716107,"","","","31","175","[2M+K]+","","2","576;666","371.8861",0,0,0,4648.511,6084.804,5808.6455,0,0,0,""
682,106.951100968019,0.47174066,"","","","31","211","[M+Na]+","","3","682;705;707","83.96168",2694.4585,1902.3717,2866.9243,64837.617,61809.05,52122.84,2278.8066,2766.2048,2521.9502,""
494,718.840609618074,0.47174877,"","","","31","205","[M+Na]+","","2","494;593","695.8525",988.8416,340.6882,873.63763,10713.556,6863.24,2921.2842,260.77,1250.978,359.58826,""
595,766.758038802096,0.47290426,"","","","31","175","[2M+Na]+","","2","660;595","371.8861",0,93.28896,0,12373.569,12636.346,9389.295,0,0,0,""
706,190.912133170442,0.47357464,"","","","31","211","[2M+Na]+","","2","705;706","83.96168",0,0,0,67614.01,74072.17,74684.875,0,0,0,""
707,206.886137924926,0.47357464,"","","","31","211","[2M+K]+","","2","682;707","83.96168",0,0,0,14879.603,17716.625,20792.42,0,0,0,""
708,274.873440324649,0.47357464,"","","","31","217","[M+K]+","","3","655;708;717","235.91003",0,0,0,96319.195,107645.516,116041.13,0,0,0,""
670,292.84557297696,0.47357464,"","","","31","76","[M+K]+","","2","709;670","253.88278",0,0,0,2412.245,3181.298,4814.8105,0,0,0,""
713,344.859129290246,0.47357464,"","","","31","222","[M+K]+","","2","575;713","305.89489",0,0,0,8312.57,8334.354,9537.648,0,0,0,""
727,404.829967705011,0.47357464,"","","","31","185","[M+K]+","","2","727;657","365.86568",0,0,0,2182.5737,4145.654,2920.3484,0,0,0,""
716,478.836321630287,0.47357464,"","","","31","85","[M+K]+","","3","581;716;467","439.87079",0,0,0,61820.727,65949.484,56277.02,0,0,0,""
718,510.784192478385,0.47357464,"","","","31","217","[2M+K]+","","2","655;718","235.91003",0,0,0,4536.627,5934.5444,7354.0454,0,0,0,""
721,630.786409914296,0.47357464,"","","","31","202","[M+Na]+","","2","722;721","607.79718",0,0,0,15443.925,16686.71,14283.682,0,0,0,""
722,646.760318578916,0.47357464,"","","","31","202","[M+K]+","","2","722;721","607.79718",0,0,0,4935.3677,6018.0815,6384.502,0,0,0,""
679,648.75843101174,0.47357464,"","","","31","191","[M+K]+","","2","679;608","609.79535",0,0,0,1144.429,2144.3499,2416.302,0,0,0,""
696,714.747102327687,0.47357464,"","","","31","192","[M+K]+","","2","592;696","675.78422",0,0,0,4479.081,6090.205,6274.9927,0,0,0,""
680,716.744120144541,0.47357464,"","","","31","197","[M+K]+","","2","703;680","677.78147",0,0,0,1156.5884,1722.5405,2409.3774,0,0,0,""
678,580.770866662214,0.47361842,"","","","31","198","[M+K]+","","2","663;678","541.80746",0,0,0,1578.8129,1853.9,2176.4429,0,0,0,""
762,443.814782274072,0.47367254,"","","","31","216","[2M+NH4]+","","2","762;768","212.89106",0,0,0,1178.3903,2172.1526,3010.5317,0,0,0,""
741,174.938451880067,0.47380993,"","","","31","","","","","","",3035.2537,3171.209,1427.9619,79174.55,77884.62,61949.473,2370.1992,3426.3828,3091.9924,""
562,870.789377614042,0.47438344,"","","","31","159","[M+Na]+","","2","562;521","847.80075",0,50.327805,0,6833.024,4742.352,2111.0745,0,0,0,""
714,358.83654761447,0.4751253,"","","","31","212","[M+K]+","","2","714;712","319.87357",0,0,34.00107,7012.4824,8619.071,11198.926,0,0,34.649887,""
519,802.798611360262,0.47547117,"","","","31","203","[M+K]+","","2","519;725","763.83699",32.546265,0,0,10307.238,8211.827,3311.32,0,0,0,""
751,262.069036841574,0.4755559,"","","","31","218","[M+K]+","","2","770;751","223.10614",0,0,0,34048.008,35579.902,33241.75,0,0,0,""
752,266.160090766679,0.4755559,"","","","31","","","","","","",0,0,0,49004.176,49557.414,49148.344,0,0,0,""
694,360.833632391327,0.47559413,"","","","31","208","[M+K]+","","2","694;713","321.87019",0,0,0,1856.5037,2871.1982,2724.3113,0,0,0,""
593,734.816775717639,0.4756864,"","","","31","199","[M+Na]+","","2","594;593","711.82582",81.62717,0,0,17915.879,13932.242,6424.043,0,121.58739,0,""
712,342.862970683796,0.47674012,"","","","31","212","[M+Na]+","","2","714;712","319.87357",0,0,33.468864,35554.566,40591.7,43091.312,48.40165,52.87809,36.016037,""
664,616.812282235333,0.47695607,"","","","31","200","[M+Na]+","","2","664;608","593.82228",42.519318,0,0,7310.412,6736.8843,4577.1094,0,0,0,""
559,736.811213513588,0.4769773,"","","","31","207","[M+Na]+","","2","560;559","713.82252",0,0,0,2280.2615,2104.5818,926.0176,0,0,29.879314,""
577,396.872684507647,0.4774012,"","","","31","233","[M+K]+","","2","577;659","357.90835",0,0,0,18403.5,18160.467,14882.966,0,50.637733,0,""
764,196.878123094045,0.4775851,"","","","31","225","[M+K]+","","2","783;764","157.91505",0,0,0,1323.884,2396.1223,3769.9695,0,0,0,""
