m.z	p.value	t.score	rt
576.20089	5.02744907320631e-7	-33.094644011846	480
770.30091	5.23736362858151e-7	-37.4779201633485	481.2
386.10041	5.39900448699256e-7	26.7467546337818	470.4
73.02919	5.56946017843178e-7	22.6600250516083	439.8
375.15384	5.67345687091147e-7	-34.2827819671182	477.6
317.09904	5.6834868089647e-7	-26.9211170211184	616.2
130.05102	5.73392932941725e-7	-16.5676873345533	205.8
126.00317	5.8587420287209e-7	24.6180563633785	487.8
312.94993	5.88955253505409e-7	34.9710686664479	660
118.05104	5.8993071452399e-7	-15.5223206665695	475.8
211.0014	5.90105921959765e-7	35.1340400462581	616.2
491.03056	6.3400227217064e-7	16.6756838228402	439.8
419.07137	6.48652481041605e-7	16.2925218456773	441
195.03333	6.54227511817126e-7	-16.6113147229328	195
180.06672	6.58202788104337e-7	-16.4367784061771	411.6
419.98807	6.67417022792024e-7	-14.5582653454123	741
308.09904	6.75856957232749e-7	15.0825974944025	459.6
321.06599	6.90002486999293e-7	-17.172693222389	741
176.03876	7.11926292477263e-7	-22.5648247390993	166.2
280.99714	7.31990317128002e-7	14.9322643876959	441
291.97142	7.53924113444993e-7	39.7370312421691	660
219.1068	7.6256527509932e-7	-17.2107202629015	199.2
153.99913	7.72719850147634e-7	-46.3050080360712	483
303.03549	7.75668709971209e-7	-21.4557425081393	555.6
303.05548	7.81037158673755e-7	-17.8151246143697	741
277.05893	7.87896523153236e-7	21.2904332180551	483
821.53313	7.91715163955454e-7	-41.3976113048942	76.8
259.05727	8.12620346748003e-7	-17.1114503876754	501.6
434.13365	8.12620346748003e-7	40.5569983213277	437.4
445.05315	8.30086474829293e-7	-14.394863213736	587.4
183.06201	8.33299267354375e-7	-41.8096141382153	529.2
136.02835	8.42865706114865e-7	-46.7566455162884	245.4
220.00887	8.42865706114865e-7	-20.3012689705748	245.4
304.0566	8.42865706114865e-7	-16.024634269344	741
196.06158	8.44389477775007e-7	-21.4720602769036	739.8
111.95672	8.9226736772711e-7	-35.8605862544828	481.2
320.06257	9.0561009764465e-7	-18.1252013067639	741
299.25932	9.16258899735494e-7	26.0932323159305	84
132.05527	9.33450357305752e-7	-14.0942718220914	475.8
83.01377	9.82711191012978e-7	21.2497285149246	440.4
136.03461	1.00581788075141e-6	-22.8594939787923	245.4
337.07813	1.00581788075141e-6	-26.1969329230676	536.4
125.00092	1.01253876593113e-6	-25.5940988014015	481.2
161.06503	1.04453353654147e-6	-14.1392655824774	228.6
329.24899	1.04453353654147e-6	16.8855275134031	82.8
285.0731	1.05553945517088e-6	-19.778705127798	624.6
315.08115	1.05698630694161e-6	15.6029279108466	520.2
327.2329	1.05698630694161e-6	18.3892541169517	82.8
420.98989	1.05698630694161e-6	-13.6737975618423	741
235.07267	1.06208748851316e-6	-15.6464779971573	357.6
252.05492	1.06208748851316e-6	28.0831606725499	434.4
483.11025	1.09115348191639e-6	13.9491533482332	441
337.01592	1.13775255620468e-6	-33.8634890872501	245.4
313.0447	1.18512331193874e-6	20.4801418092954	553.8
254.99033	1.23105333553296e-6	-29.9184994126887	245.4
614.14361	1.23919808635081e-6	13.7504907273924	559.8
102.05604	1.24328903390961e-6	16.1049041581742	519
160.06168	1.27240146527118e-6	-23.7363760103727	228.6
279.0026	1.27240146527118e-6	13.8177457754464	441
203.00212	1.27463216573788e-6	15.3032379821564	170.4
133.01572	1.33503920392498e-6	-41.1140094531254	349.2
195.08639	1.33948688458488e-6	13.3283531198715	846.6
464.31486	1.35369511618785e-6	-13.2511841726415	162
157.02558	1.36562382856088e-6	-33.7252994534405	330.6
119.05431	1.3945428083951e-6	-13.1918828288964	475.8
274.9493	1.4224889725272e-6	-33.3984191583512	246.6
489.03032	1.44729766423954e-6	13.2076417199596	440.4
140.01187	1.44888599666946e-6	-23.6360671895304	569.4
151.06126	1.47560780219384e-6	-16.4128399064824	384
829.57946	1.47560780219384e-6	-22.8635931165034	88.8
129.0387	1.51791101947899e-6	16.2759652466768	519
161.0457	1.5419334574692e-6	-28.3245009300446	175.8
303.53625	1.5419334574692e-6	-14.8830832845957	555.6
216.05145	1.62405428182784e-6	-17.0722122873554	741
